symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,vega,theta,prem
SPX,2026-03-20,8,200,6842.4,CALL,0,2487,0.99999999999999,-6.8504751145848666e-18,2.000068260694115e-05,-2.4063959596871613e-31,0.0
SPX,2026-03-20,8,200,6842.4,PUT,0,2760,-9.992007221626409e-15,-6.8504751145848666e-18,2.000068260694115e-05,-2.4063959596871613e-31,0.0
SPX,2026-03-20,8,400,6842.4,CALL,0,13,1.0,9.38307706562892e-18,2e-05,-3.853558709695895e-16,0.0
SPX,2026-03-20,8,400,6842.4,PUT,0,105,0.0,9.38307706562892e-18,2e-05,-3.853558709695895e-16,0.0
SPX,2026-03-20,8,600,6842.4,CALL,0,6,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,600,6842.4,PUT,0,1066,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,800,6842.4,CALL,0,9,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,800,6842.4,PUT,0,2661,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1000,6842.4,CALL,0,1251,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1000,6842.4,PUT,0,6514,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1200,6842.4,CALL,0,40,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1200,6842.4,PUT,0,10556,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1400,6842.4,CALL,0,1,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1400,6842.4,PUT,0,12413,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1600,6842.4,CALL,0,23,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1600,6842.4,PUT,0,9364,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1800,6842.4,CALL,0,40,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,1800,6842.4,PUT,0,9388,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2000,6842.4,CALL,0,5629,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2000,6842.4,PUT,0,15777,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2200,6842.4,CALL,0,7,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2200,6842.4,PUT,0,6127,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2400,6842.4,CALL,0,0,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2400,6842.4,PUT,0,4383,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2500,6842.4,CALL,0,3,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2500,6842.4,PUT,0,10366,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2600,6842.4,CALL,0,12,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2600,6842.4,PUT,0,3171,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2700,6842.4,CALL,0,0,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2700,6842.4,PUT,0,3449,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2800,6842.4,CALL,0,0,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2800,6842.4,PUT,0,3,0.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
SPX,2026-03-20,8,2900,6842.4,CALL,0,31,1.0,9.38307706562892e-18,2e-05,-1.1971731254479713e-13,0.0
