symbol,exp,dte,stk,underlying_price,type,vol,oi,delta,gamma,prem
SPY,,1,500,686.85,CALL,35,35,0,0,0.0
SPY,,1,500,686.85,PUT,0,151,0,0,0.0
SPY,,1,505,686.85,CALL,0,0,0,0,0.0
SPY,,1,505,686.85,PUT,0,0,0,0,0.0
SPY,,1,510,686.85,CALL,0,0,0,0,0.0
SPY,,1,510,686.85,PUT,0,100,0,0,0.0
SPY,,1,515,686.85,CALL,0,0,0,0,0.0
SPY,,1,515,686.85,PUT,0,64,0,0,0.0
SPY,,1,520,686.85,CALL,0,0,0,0,0.0
SPY,,1,520,686.85,PUT,0,239,0,0,0.0
SPY,,1,525,686.85,CALL,0,0,0,0,0.0
SPY,,1,525,686.85,PUT,0,0,0,0,0.0
SPY,,1,530,686.85,CALL,0,0,0,0,0.0
SPY,,1,530,686.85,PUT,0,1,0,0,0.0
SPY,,1,535,686.85,CALL,0,0,0,0,0.0
SPY,,1,535,686.85,PUT,0,0,0,0,0.0
SPY,,1,540,686.85,CALL,0,0,0,0,0.0
SPY,,1,540,686.85,PUT,0,3,0,0,0.0
SPY,,1,545,686.85,CALL,0,0,0,0,0.0
SPY,,1,545,686.85,PUT,0,30,0,0,0.0
SPY,,1,550,686.85,CALL,0,0,0,0,0.0
SPY,,1,550,686.85,PUT,0,56,0,0,0.0
SPY,,1,555,686.85,CALL,0,0,0,0,0.0
SPY,,1,555,686.85,PUT,0,50,0,0,0.0
SPY,,1,560,686.85,CALL,0,0,0,0,0.0
SPY,,1,560,686.85,PUT,0,983,0,0,0.0
SPY,,1,565,686.85,CALL,0,0,0,0,0.0
SPY,,1,565,686.85,PUT,0,44,0,0,0.0
SPY,,1,570,686.85,CALL,0,0,0,0,0.0
SPY,,1,570,686.85,PUT,0,53,0,0,0.0
SPY,,1,575,686.85,CALL,0,0,0,0,0.0
SPY,,1,575,686.85,PUT,0,201,0,0,0.0
SPY,,1,580,686.85,CALL,0,0,0,0,0.0
SPY,,1,580,686.85,PUT,0,22,0,0,0.0
SPY,,1,585,686.85,CALL,0,0,0,0,0.0
SPY,,1,585,686.85,PUT,0,1438,0,0,0.0
SPY,,1,590,686.85,CALL,0,0,0,0,0.0
SPY,,1,590,686.85,PUT,0,367,0,0,0.0
SPY,,1,595,686.85,CALL,0,1,0,0,0.0
SPY,,1,595,686.85,PUT,0,159,0,0,0.0
SPY,,1,600,686.85,CALL,23,0,0,0,0.0
SPY,,1,600,686.85,PUT,0,522,0,0,0.0
SPY,,1,605,686.85,CALL,0,1,0,0,0.0
SPY,,1,605,686.85,PUT,0,230,0,0,0.0
SPY,,1,610,686.85,CALL,0,0,0,0,0.0
SPY,,1,610,686.85,PUT,90,483,0,0,0.0
SPY,,1,615,686.85,CALL,5,36,0,0,0.0
SPY,,1,615,686.85,PUT,0,1316,0,0,0.0
SPY,,1,620,686.85,CALL,15,31,0,0,0.0
SPY,,1,620,686.85,PUT,0,1389,0,0,0.0
SPY,,1,625,686.85,CALL,0,1,0,0,0.0
SPY,,1,625,686.85,PUT,1,3229,0,0,0.0
SPY,,1,630,686.85,CALL,21,10,0,0,0.0
SPY,,1,630,686.85,PUT,1,1546,0,0,0.0
SPY,,1,635,686.85,CALL,0,13,0,0,0.0
SPY,,1,635,686.85,PUT,2,664,0,0,0.0
SPY,,1,640,686.85,CALL,6,2,0,0,0.0
SPY,,1,640,686.85,PUT,1,1102,0,0,0.0
SPY,,1,645,686.85,CALL,0,17,0,0,0.0
SPY,,1,645,686.85,PUT,11,3871,0,0,0.0
SPY,,1,650,686.85,CALL,52,44,0,0,0.0
SPY,,1,650,686.85,PUT,12,3486,0,0,0.0
SPY,,1,651,686.85,CALL,4,8,0,0,0.0
SPY,,1,651,686.85,PUT,0,2260,0,0,0.0
SPY,,1,652,686.85,CALL,1,0,0,0,0.0
SPY,,1,652,686.85,PUT,3,910,0,0,0.0
SPY,,1,653,686.85,CALL,0,0,0,0,0.0
